"Add To QCP Table","QCP ID",Action,Frequency,Criteria,Delete
Y,9811,Test,Test,Test,0
Y,9814,"Critical operating characteristics of the ??instrument?? are checked TestTest","When indicated","Within expected performance characteristics test",0
Y,9815,"Noise level is controlled","Regularly test",Test,0
Y,9816,"Test Test","Test Test",Test,0
Y,9817,Test,Test,Test,0
Y,6010,"Written organization chart","Updated as needed",,0
Y,6030,"Retesting by a different method or device","Unusual patient results","Expected clinical results",0
Y,6040,"Suitably trained individual from the laboratory, nursing service, or medical staff available for troubleshooting","Unusual patient results","Concerns are resolved",0
Y,6050,"(i-STAT MQSI) Electronic Simulator check","Daily on days of patient testing per handheld","Within expected values",0
Y,6051,"(i-STAT MQSI) Verify new or replacement handheld operation with Electronic Simulator","Upon receipt of ??instrument?? and before patient use","Within expected values",0
Y,6052,"(i-STAT MQSI) Check temperature strip","Per shipment of cartridges","Satisfactory transit temperatures in each shipping container",0
Y,6053,"(i-STAT MQSI) Log  proper cartridge refrigeration","All refrigerated cartridges",2-8??C,0
Y,6054,"(i-STAT MQSI) Remove cartridges exposed to high heat from use","All stored cartridges","Exceeding 30??C",0
Y,6055,"(i-STAT MQSI) Remove cartridges from use which exceed the manufacturer's printed expiration","Every cartridge","Beyond manufacturer's printed expiration",0
Y,6056,"(i-STAT MQSI) Remove from use cartridges which exceed the room temperature expiry","Every cartridge","Beyond room temperature expiry",0
Y,6057,"(i-STAT MQSI) Exposed cartridges are used immediately","Every cartridge","Upon cartridge removal from the pouch",0
Y,6058,"(i-STAT MQSI) Cartridges are allowed to equilibrate to room temperature","Every cartridge or box","5 minutes for a single cartridge / 60 minutes for a box of cartridges",0
Y,6059,"(i-STAT MQSI) Check Thermal Probe","Every 6 months","Within expected values",0
Y,6060,"(i-STAT MQSI) Train ??test personnel?? to avoid pre-analytical and post-analytical errors","During competency assessment",,0
Y,6061,"(i-STAT MQSI) Update ??instrument?? software","Every 6 months","Every handheld receives a successful update",0
Y,6062,"(i-STAT MQSI) External Simulator check","After software update","Within expected values",0
Y,6080,"Manufacturer's instructions are followed for testing","All patient samples","Per manufacturer's instructions",0
Y,7000,"Specimen collection procedures are available","At all times to personnel collecting specimens","Per laboratory specimen collection procedures",0
Y,7010,"Procedure for Medical Records",Daily,"Per medical record procedure",0
Y,7020,"Urine Drugs of Abuse reporting procedure","All patient samples","Per laboratory DOA reporting procedure",0
Y,7030,"Group A Streptococcus Ag negative confirmation","All pediatric patients","Per manufacturer's instructions",0
Y,7040,"??Test personnel?? ID on report",Daily,,0
Y,7050,"??Test personnel?? have a barcoded ID badge","All ??test personnel??","Certified ??test personnel??",0
Y,7060,"??Instrument?? is approved for patient use","Before patient testing","Laboratory director evaluates performance characteristics and performance verification",0
Y,7070,"Critical operating characteristics of the ??instrument?? are checked",Regularly,"Within expected performance characteristics",0
Y,7080,"Accurate thermometric devices are used to monitor the testing environment",Daily,"Within manufacturer limits for test performance",0
Y,7090,"Check thermometer calibration","Prior to calibration expiration","Thermometer calibration verified",0
Y,7110,"Operator ID lockout is enabled by method",Always,"Certified ??test personnel??",0
Y,7140,"Expired ??test personnel?? are locked out","Upon individual expiry","Certified ??test personnel??",0
Y,7160,"Data management software collects control results for review by the Technical Consultant","Each control result","Within expected values",0
Y,7170,"Corrective action for failed control result is noted electronically or on paper","Each control outlier","Outside expected values",0
Y,7180,"QC Lockout is enabled","Each control result","PASS or FAIL within expected values",0
Y,7190,"2 levels of controls","Daily on days of patient testing","Within expected values",0
Y,7200,"2 levels of controls (coagulation)","Every 8 hours on days of patient testing","Within expected values",0
Y,7210,"Positive and negative control (qualitative)","Daily on days of patient testing","Within expected values",0
Y,7220,"Validation study of external control to electronic/procedural/built-in controls","Initial system implementation","20 consecutive days within expected values",0
Y,7230,"External control","30 days","Within expected values",0
Y,7240,"External control","Per lot","Within expected values",0
Y,7250,"External control","Per shipment","Within expected values",0
Y,7260,"External control","After major system maintenance","Within expected values",0
Y,7270,"External control","After software upgrade","Within expected values",0
Y,7280,"Weak positive and negative control (qualitative)","30 days","Within expected values",0
Y,7290,"Weak positive and negative control (qualitative)","Per lot","Within expected values",0
Y,7310,"Weak positive and negative control (qualitative)","Per shipment","Within expected values",0
Y,7320,"Weak positive and negative control (qualitative)","After major system maintenance","Within expected values",0
Y,7330,"Weak positive and negative control (qualitative)","After software upgrade","Within expected values",0
Y,7360,"QC data review by the laboratory director or designee",Monthly,"Within expected values",0
Y,7370,"Verify expected values limits established by the manufacturer","Per lot","Within expected values",0
Y,7380,"Establish expected QC values limits","Per lot","Repetitive analysis of control materials over time",0
Y,7390,"Repeat analysis of patient samples back to last acceptable QC","When controls exceed established limits","Within laboratory established criteria for result variation",0
Y,7400,"All ??test personnel?? perform QC","Rotate with each control event","Records reflect QC performed by all ??test personnel??",0
Y,7410,"All ??test personnel?? perform QC in the same manner as patient samples","Rotate with each control event","Detect testing process variation among ??test personnel??",0
Y,7420,"QC reviewed by ??test personnel??","Each control event","Within established values",0
Y,7430,"QC lockout enabled on ??instrument??","Per control run","Within established values",0
Y,7440,"Evaluate comparability of ??instrument??","Twice per year","Within laboratory established criteria for result variation",0
Y,7450,"Gram stains checked for intended reactivity","Each new batch of stain","Within expected reactivity for gram-positive and gram-negative organisms",0
Y,7460,"Gram stains checked for intended reactivity",Weekly,"Within expected reactivity for gram-positive and gram-negative organisms",0
Y,7470,"Stains checked for intended reactivity",Daily,"Within expected reactivity",0
Y,7480,"Calibration procedures are followed for waived testing","Per manufacturer's instructions","Per manufacturer's instructions",0
Y,7490,"Instrument calibration is performed","Per manufacturer's requirements","Per manufacturer's instructions",0
Y,7500,"Calibration verification","Unusual outliers, trends, or shifts when other means of correction with controls are unsuccessful","Within limits of acceptability",0
Y,7510,"Calibration verification","After major maintenance or service","Within limits of acceptability",0
