"Assessment ID","Is Demo",Fishbone,Manufacturer,"Test System",Cartridge,"Matrix Id",Analytes,"Assessment Title","Part Number","Annually Price","Quarterly Price","Product Group","Test Category",Status,"Variation Title","Display Sort",Device,??Test??,??test??,??Analytes??,??Instrument??,??instrument??,??Consumable??,??consumable??,"??Consumable port??","??consumable port??","??Sample probe??","??sample probe??",??Customizations??,??customizations??,??LQC??,??lqc??,??EQC_ext??,??eqc_ext??,??EQC_int??,??eqc_int??,??CVC??,??cvc??,??Optics??,??optics??,"??Test personnel??","??test personnel??",??Calibrator??,??calibrator??,??Reagent??,??Eqc_int??,"??Consumable A??",??analyte??,Delete
11,,,Abbott,i-STAT,G3+,,"pH, PO2, PCO2","Abbott i-STAT G3+",Q-10001,199.000000,75.000000,Assessment,"Blood gas",Active,"Abbott i-STAT G3+",260,i-STAT,G3+,G3+,"pH, PO2, PCO2",Handheld,handheld,Cartridge,cartridge,"Cartridge port","cartridge port",,,Customizations,customizations,"Liquid control","liquid control","External simulator","external simulator","Internal simulator","internal simulator","Calibration verification controls","calibration verification controls",,,"Test personnel","test personnel",,,,,,,0
12,,,Abbott,i-STAT,E3+,,"Na, K, Hct","Abbott i-STAT E3+",Q-10002,199.000000,75.000000,Assessment,"Blood gas",Active,"Abbott i-STAT E3+",270,i-STAT,E3+,E3+,"Na, K, Hct",Handheld,handheld,Cartridge,cartridge,"Cartridge port","cartridge port",,,Customizations,customizations,"Liquid control","liquid control","External simulator","external simulator","Internal simulator","internal simulator","Calibration verification controls","calibration verification controls",,,"Test personnel","test personnel",,,,,,,0
13,,,Abbott,i-STAT,CG4+,,"pH, pO2, pCO2, Lac","Abbott i-STAT CG4+",Q-10003,199.000000,75.000000,Assessment,"Blood gas",Active,"Abbott i-STAT CG4+",280,i-STAT,CG4+,CG4+,"pH, pO2, pCO2, Lac",Handheld,handheld,Cartridge,cartridge,"Cartridge port","cartridge port",,,Customizations,customizations,"Liquid control","liquid control","External simulator","external simulator","Internal simulator","internal simulator","Calibration verification controls","calibration verification controls",,,"Test personnel","test personnel",,,,,,,0
14,,,Abbott,i-STAT,EC4+,,"Na, K, Glu, Hct","Abbott i-STAT EC4+",Q-10004,199.000000,75.000000,Assessment,"Blood gas",Active,"Abbott i-STAT EC4+",290,i-STAT,EC4+,EC4+,"Na, K, Glu, Hct",Handheld,handheld,Cartridge,cartridge,"Cartridge port","cartridge port",,,Customizations,customizations,"Liquid control","liquid control","External simulator","external simulator","Internal simulator","internal simulator","Calibration verification controls","calibration verification controls",,,"Test personnel","test personnel",,,,,,,0
15,,,Abbott,i-STAT,EG6+,,"Na, K, pH, pO2, pCO2, Hct","Abbott i-STAT EG6+",Q-10005,199.000000,75.000000,Assessment,"Blood gas",Active,"Abbott i-STAT EG6+",300,i-STAT,EG6+,EG6+,"Na, K, pH, pO2, pCO2, Hct",Handheld,handheld,Cartridge,cartridge,"Cartridge port","cartridge port",,,Customizations,customizations,"Liquid control","liquid control","External simulator","external simulator","Internal simulator","internal simulator","Calibration verification controls","calibration verification controls",,,"Test personnel","test personnel",,,,,,,0
16,,,Abbott,i-STAT,6+,,"Na, K, Cl, Glu, BUN, Hct","Abbott i-STAT 6+",Q-10006,199.000000,75.000000,Assessment,"Blood gas",Active,"Abbott i-STAT 6+",310,i-STAT,6+,6+,"Na, K, Cl, Glu, BUN, Hct",Handheld,handheld,Cartridge,cartridge,"Cartridge port","cartridge port",,,Customizations,customizations,"Liquid control","liquid control","External simulator","external simulator","Internal simulator","internal simulator","Calibration verification controls","calibration verification controls",,,"Test personnel","test personnel",,,,,,,0
17,,,Abbott,i-STAT,EG7+,,"Na, K, iCa, pH, pO2, pCO2, Hct","Abbott i-STAT EG7+",Q-10007,199.000000,75.000000,Assessment,"Blood gas",Active,"Abbott i-STAT EG7+",320,i-STAT,EG7+,EG7+,"Na, K, iCa, pH, pO2, pCO2, Hct",Handheld,handheld,Cartridge,cartridge,"Cartridge port","cartridge port",,,Customizations,customizations,"Liquid control","liquid control","External simulator","external simulator","Internal simulator","internal simulator","Calibration verification controls","calibration verification controls",,,"Test personnel","test personnel",,,,,,,0
18,,,Abbott,i-STAT,EC8+,,"Na, K, Cl, Glu, BUN, pH, pCO2, Hct","Abbott i-STAT EC8+",Q-10008,199.000000,75.000000,Assessment,"Blood gas",Active,"Abbott i-STAT EC8+",330,i-STAT,EC8+,EC8+,"Na, K, Cl, Glu, BUN, pH, pCO2, Hct",Handheld,handheld,Cartridge,cartridge,"Cartridge port","cartridge port",,,Customizations,customizations,"Liquid control","liquid control","External simulator","external simulator","Internal simulator","internal simulator","Calibration verification controls","calibration verification controls",,,"Test personnel","test personnel",,,,,,,0
19,,,Abbott,i-STAT,CG8+,,"Na, K, iCa, Glu, pH, pO2, pCO2, Hct","Abbott i-STAT CG8+",Q-10009,199.000000,75.000000,Assessment,"Blood gas",Active,"Abbott i-STAT CG8+",340,i-STAT,CG8+,CG8+,"Na, K, iCa, Glu, pH, pO2, pCO2, Hct",Handheld,handheld,Cartridge,cartridge,"Cartridge port","cartridge port",,,Customizations,customizations,"Liquid control","liquid control","External simulator","external simulator","Internal simulator","internal simulator","Calibration verification controls","calibration verification controls",,,"Test personnel","test personnel",,,,,,,0
