"Add To Risk Table",Category,"Risk Index","Hazard/RISK Statement","Risk Abbreviated Terms","Type Of Risk",Activity,"Common Risk","Specific Risk",Delete
Y,T,1020,"Test is ordered outside the indications for use","IFU not followed","Instrument Risk",order,1,0,0
Y,T,1030,"Test is ordered outside the limitations of use",Limitations,"Instrument Risk",order,1,0,0
Y,S,1040,"Patient experiences adverse event during sample collection process","Adverse event","Instrument Risk",collection,1,0,0
Y,S,1050,"Sample is collected from the wrong patient","Wrong patient","Instrument Risk","patient id",1,0,0
Y,S,1060,"Wrong patient identifier is entered into the ??instrument??","Misidentify patient","Instrument Risk","patient id",1,0,0
Y,S,1070,"Sample is mislabeled",Mislabeled,"Instrument Risk",collection,1,0,0
Y,S,1080,"Patient did not fast prior to sample collection",Non-fasting,"Instrument Risk",collection,0,1,0
Y,S,1090,"Collection supplies are not used within manufacturer's stated instructions","Inappropriate IFU collection device","Instrument Risk",collection,1,0,0
Y,S,1100,"Sample is collected in an inappropriate collection device","Incorrect collection device","Instrument Risk",collection,1,0,0
Y,S,1110,"Sample is contaminated with alcohol or cleansing agent from sample collection","Contamination with alcohol","Instrument Risk",collection,1,0,0
Y,S,1120,"Sample quality is not optimal due to poor capillary puncture","Capillary puncture","Instrument Risk",collection,1,0,0
Y,S,1130,"Sample quality is not optimal due to poor collection technique","Poor technique","Instrument Risk",collection,1,0,0
Y,S,1140,"Sample is hemolyzed",Hemolysis,"Instrument Risk",collection,1,0,0
Y,S,1150,"Incorrect sample type collected for analysis (venous, arterial, capillary, etc.)","Wrong sample type","Instrument Risk",collection,1,0,0
Y,S,1160,"Syringe is not evacuated of ambient air","Ambient air contamination","Instrument Risk",collection,0,1,0
Y,S,1170,"Evacuated tubes are not filled to capacity","Short sample","Instrument Risk",collection,0,1,0
Y,S,1180,"Blood sample drawn into collection device with inappropriate anticoagulant","Wrong anticoagulant","Instrument Risk",collection,1,0,0
Y,S,1190,"Sample is diluted with IV fluid","Sample dilution","Instrument Risk",collection,1,0,0
Y,S,1200,"Sample contains air bubbles","Air bubbles","Instrument Risk",transfer,0,1,0
Y,S,1210,"Sample is clotted","Clotted sample","Instrument Risk",transfer,1,0,0
Y,S,1220,"Sample is not properly mixed before filling the ??consumable??","Improper sample mixing","Instrument Risk",collection,1,0,0
Y,S,1221,"Sample is not properly mixed before introducing to the ??sample probe??","Improper sample dosing","Instrument Risk",collection,0,1,0
